n_lfcc,n_filters,win_length,use_double_deltas,dev_eer,eval_eer,joint_eer
20,60,400,True,0.116751269035533,0.1865671641791045,0.1586408061216759
20,60,400,False,0.1218274111675127,0.19029850746268656,0.16291006894461701
20,60,480,True,0.12690355329949238,0.1828358208955224,0.16046291385711037
20,60,480,False,0.12690355329949238,0.1828358208955224,0.16046291385711037
20,80,400,True,0.1116751269035533,0.1828358208955224,0.15437154329873476
20,80,400,False,0.116751269035533,0.19402985074626866,0.16311841806197439
20,80,480,True,0.1319796954314721,0.19402985074626866,0.16920978862035002
20,80,480,False,0.12690355329949238,0.1865671641791045,0.16270171982725964
20,100,400,True,0.1065989847715736,0.19029850746268656,0.15681869838624138
20,100,400,False,0.1116751269035533,0.1865671641791045,0.156610349268884
20,100,480,True,0.12690355329949238,0.19029850746268656,0.16494052579740887
20,100,480,False,0.1218274111675127,0.19029850746268656,0.16291006894461701
20,128,400,True,0.09137055837563451,0.1865671641791045,0.1484885218577165
20,128,400,False,0.1218274111675127,0.19402985074626866,0.16514887491476626
20,128,480,True,0.116751269035533,0.19029850746268656,0.16087961209182514
20,128,480,False,0.1116751269035533,0.1828358208955224,0.15437154329873476
20,160,400,True,0.1116751269035533,0.19402985074626866,0.1610879612091825
20,160,400,False,0.1065989847715736,0.1828358208955224,0.15234108644594288
20,160,480,True,0.116751269035533,0.19029850746268656,0.16087961209182514
20,160,480,False,0.1116751269035533,0.19029850746268656,0.15884915523903326
20,200,400,True,0.1116751269035533,0.1865671641791045,0.156610349268884
20,200,400,False,0.1218274111675127,0.19029850746268656,0.16291006894461701
20,200,480,True,0.1218274111675127,0.19402985074626866,0.16514887491476626
20,200,480,False,0.1116751269035533,0.1865671641791045,0.156610349268884
20,256,400,True,0.1218274111675127,0.19029850746268656,0.16291006894461701
20,256,400,False,0.1116751269035533,0.20149253731343283,0.16556557314948103
20,256,480,True,0.1116751269035533,0.1828358208955224,0.15437154329873476
20,256,480,False,0.1218274111675127,0.19029850746268656,0.16291006894461701
25,40,400,True,0.1065989847715736,0.1865671641791045,0.15457989241609213
25,40,400,False,0.1065989847715736,0.19029850746268656,0.15681869838624138
25,40,480,True,0.1116751269035533,0.17164179104477612,0.14765512538828698
25,40,480,False,0.1218274111675127,0.17537313432835822,0.15395484506402002
25,60,400,True,0.1116751269035533,0.1865671641791045,0.156610349268884
25,60,400,False,0.116751269035533,0.1865671641791045,0.1586408061216759
25,60,480,True,0.1218274111675127,0.1865671641791045,0.16067126297446777
25,60,480,False,0.13705583756345177,0.1828358208955224,0.16452382756269412
25,80,400,True,0.1116751269035533,0.19029850746268656,0.15884915523903326
25,80,400,False,0.116751269035533,0.19402985074626866,0.16311841806197439
25,80,480,True,0.1218274111675127,0.19029850746268656,0.16291006894461701
25,80,480,False,0.12690355329949238,0.19402985074626866,0.16717933176755814
25,100,400,True,0.116751269035533,0.1865671641791045,0.1586408061216759
25,100,400,False,0.10152284263959391,0.19029850746268656,0.1547882415334495
25,100,480,True,0.116751269035533,0.1865671641791045,0.1586408061216759
25,100,480,False,0.1319796954314721,0.1828358208955224,0.16249337070990227
25,128,400,True,0.1065989847715736,0.19776119402985073,0.16129631032653988
25,128,400,False,0.1116751269035533,0.19402985074626866,0.1610879612091825
25,128,480,True,0.1218274111675127,0.19029850746268656,0.16291006894461701
25,128,480,False,0.116751269035533,0.1865671641791045,0.1586408061216759
25,160,400,True,0.116751269035533,0.19029850746268656,0.16087961209182514
25,160,400,False,0.1065989847715736,0.19029850746268656,0.15681869838624138
25,160,480,True,0.1218274111675127,0.1865671641791045,0.16067126297446777
25,160,480,False,0.1218274111675127,0.19776119402985073,0.1673876808849155
25,200,400,True,0.1065989847715736,0.19029850746268656,0.15681869838624138
25,200,400,False,0.1116751269035533,0.19402985074626866,0.1610879612091825
25,200,480,True,0.1116751269035533,0.1828358208955224,0.15437154329873476
25,200,480,False,0.116751269035533,0.19029850746268656,0.16087961209182514
25,256,400,True,0.116751269035533,0.19029850746268656,0.16087961209182514
25,256,400,False,0.1218274111675127,0.19402985074626866,0.16514887491476626
25,256,480,True,0.116751269035533,0.1828358208955224,0.15640200015152664
25,256,480,False,0.12690355329949238,0.19029850746268656,0.16494052579740887
30,40,400,True,0.116751269035533,0.19029850746268656,0.16087961209182514
30,40,400,False,0.1218274111675127,0.19029850746268656,0.16291006894461701
30,40,480,True,0.1116751269035533,0.1865671641791045,0.156610349268884
30,40,480,False,0.116751269035533,0.1865671641791045,0.1586408061216759
30,60,400,True,0.1116751269035533,0.19029850746268656,0.15884915523903326
30,60,400,False,0.12690355329949238,0.19029850746268656,0.16494052579740887
30,60,480,True,0.1218274111675127,0.19402985074626866,0.16514887491476626
30,60,480,False,0.12690355329949238,0.1791044776119403,0.15822410788696112
30,80,400,True,0.116751269035533,0.1865671641791045,0.1586408061216759
30,80,400,False,0.1065989847715736,0.19402985074626866,0.15905750435639063
30,80,480,True,0.1319796954314721,0.1791044776119403,0.160254564739753
30,80,480,False,0.116751269035533,0.19402985074626866,0.16311841806197439
30,100,400,True,0.116751269035533,0.19402985074626866,0.16311841806197439
30,100,400,False,0.116751269035533,0.19776119402985073,0.16535722403212363
30,100,480,True,0.116751269035533,0.19029850746268656,0.16087961209182514
30,100,480,False,0.116751269035533,0.19029850746268656,0.16087961209182514
30,128,400,True,0.1319796954314721,0.1865671641791045,0.16473217668005152
30,128,400,False,0.1218274111675127,0.19402985074626866,0.16514887491476626
30,128,480,True,0.1319796954314721,0.1865671641791045,0.16473217668005152
30,128,480,False,0.1116751269035533,0.19776119402985073,0.16332676717933176
30,160,400,True,0.09137055837563451,0.19776119402985073,0.15520493976816424
30,160,400,False,0.116751269035533,0.19029850746268656,0.16087961209182514
30,160,480,True,0.1218274111675127,0.19402985074626866,0.16514887491476626
30,160,480,False,0.116751269035533,0.20149253731343283,0.1675960300022729
30,200,400,True,0.1218274111675127,0.19402985074626866,0.16514887491476626
30,200,400,False,0.1116751269035533,0.19029850746268656,0.15884915523903326
30,200,480,True,0.1218274111675127,0.19029850746268656,0.16291006894461701
30,200,480,False,0.1116751269035533,0.20149253731343283,0.16556557314948103
30,256,400,True,0.1116751269035533,0.19029850746268656,0.15884915523903326
30,256,400,False,0.116751269035533,0.1865671641791045,0.1586408061216759
30,256,480,True,0.1218274111675127,0.19029850746268656,0.16291006894461701
30,256,480,False,0.13705583756345177,0.1865671641791045,0.1667626335328434
